# LUMINA-SN GPU Spectrum (Escaped Packets)
# n_packets=20000000, n_emitted=3989129
wavelength_A,flux
7959.50,5.880000e+02
7966.50,5.540000e+02
7973.50,6.070000e+02
7980.50,5.320000e+02
7987.50,5.810000e+02
7994.50,6.010000e+02
8001.50,5.530000e+02
8008.50,5.860000e+02
8015.50,5.670000e+02
8022.50,5.720000e+02
8029.50,5.510000e+02
8036.50,5.350000e+02
8043.50,5.750000e+02
8050.50,5.700000e+02
8057.50,5.500000e+02
8064.50,5.590000e+02
8071.50,5.580000e+02
8078.50,5.690000e+02
8085.50,5.650000e+02
8092.50,5.360000e+02
8099.50,5.260000e+02
8106.50,4.990000e+02
8113.50,5.480000e+02
8120.50,5.730000e+02
8127.50,5.760000e+02
8134.50,5.470000e+02
8141.50,5.890000e+02
8148.50,5.780000e+02
8155.50,5.160000e+02
8162.50,5.120000e+02
8169.50,5.380000e+02
8176.50,5.870000e+02
8183.50,5.580000e+02
8190.50,5.440000e+02
8197.50,5.030000e+02
8204.50,5.250000e+02
8211.50,5.770000e+02
8218.50,4.970000e+02
8225.50,4.880000e+02
8232.50,5.000000e+02
8239.50,5.550000e+02
8246.50,5.100000e+02
8253.50,5.160000e+02
8260.50,5.050000e+02
8267.50,5.120000e+02
8274.50,5.020000e+02
8281.50,5.350000e+02
8288.50,4.620000e+02
8295.50,4.730000e+02
8302.50,5.010000e+02
8309.50,4.760000e+02
8316.50,4.680000e+02
8323.50,5.100000e+02
8330.50,4.970000e+02
8337.50,5.120000e+02
8344.50,4.940000e+02
8351.50,4.730000e+02
8358.50,5.020000e+02
8365.50,5.000000e+02
8372.50,4.900000e+02
8379.50,4.780000e+02
8386.50,4.600000e+02
8393.50,4.480000e+02
8400.50,4.700000e+02
8407.50,4.920000e+02
8414.50,5.040000e+02
8421.50,4.830000e+02
8428.50,5.240000e+02
8435.50,4.880000e+02
8442.50,4.930000e+02
8449.50,4.790000e+02
8456.50,5.210000e+02
8463.50,4.810000e+02
8470.50,4.740000e+02
8477.50,4.540000e+02
8484.50,4.420000e+02
8491.50,4.690000e+02
8498.50,4.940000e+02
8505.50,4.600000e+02
8512.50,4.740000e+02
8519.50,4.440000e+02
8526.50,4.780000e+02
8533.50,4.640000e+02
8540.50,4.960000e+02
8547.50,4.890000e+02
8554.50,4.640000e+02
8561.50,4.880000e+02
8568.50,4.630000e+02
8575.50,4.500000e+02
8582.50,4.160000e+02
8589.50,4.200000e+02
8596.50,4.100000e+02
8603.50,4.470000e+02
8610.50,4.750000e+02
8617.50,4.600000e+02
8624.50,4.210000e+02
8631.50,4.720000e+02
8638.50,4.550000e+02
8645.50,3.990000e+02
8652.50,4.590000e+02
8659.50,4.490000e+02
8666.50,4.500000e+02
8673.50,4.450000e+02
8680.50,4.380000e+02
8687.50,4.840000e+02
8694.50,4.150000e+02
8701.50,4.290000e+02
8708.50,3.820000e+02
8715.50,4.230000e+02
8722.50,4.670000e+02
8729.50,4.320000e+02
8736.50,3.860000e+02
8743.50,4.180000e+02
8750.50,4.280000e+02
8757.50,4.870000e+02
8764.50,4.310000e+02
8771.50,4.220000e+02
8778.50,4.100000e+02
8785.50,4.340000e+02
8792.50,4.590000e+02
8799.50,3.820000e+02
