# LUMINA-SN GPU Spectrum (Peeling-off / Virtual Packets)
# n_packets=20000000, n_contributions=374813200
# Line contributions: 189807, E-scatter: 374623393
wavelength_A,flux
10822.00,1.328538e+03
10834.00,1.325450e+03
10846.00,1.329732e+03
10858.00,1.257277e+03
10870.00,1.256274e+03
10882.00,1.303195e+03
10894.00,1.257809e+03
10906.00,1.275416e+03
10918.00,1.298307e+03
10930.00,1.265790e+03
10942.00,1.274490e+03
10954.00,1.253838e+03
10966.00,1.294701e+03
10978.00,1.258023e+03
10990.00,1.267350e+03
11002.00,1.268715e+03
11014.00,1.237443e+03
11026.00,1.228746e+03
11038.00,1.262144e+03
11050.00,1.219358e+03
11062.00,1.221591e+03
11074.00,1.208321e+03
11086.00,1.215612e+03
11098.00,1.215358e+03
11110.00,1.207955e+03
11122.00,1.209829e+03
11134.00,1.202169e+03
11146.00,1.180706e+03
11158.00,1.185186e+03
11170.00,1.160366e+03
11182.00,1.154745e+03
11194.00,1.178045e+03
11206.00,1.173765e+03
11218.00,1.181425e+03
11230.00,1.138768e+03
11242.00,1.141455e+03
11254.00,1.146373e+03
11266.00,1.175338e+03
11278.00,1.139424e+03
11290.00,1.131048e+03
11302.00,1.155439e+03
11314.00,1.135441e+03
11326.00,1.119378e+03
11338.00,1.119901e+03
11350.00,1.118211e+03
11362.00,1.128701e+03
11374.00,1.112750e+03
11386.00,1.104278e+03
11398.00,1.111799e+03
11410.00,1.062933e+03
11422.00,1.093891e+03
11434.00,1.114920e+03
11446.00,1.123802e+03
11458.00,1.087000e+03
11470.00,1.119731e+03
11482.00,1.071940e+03
11494.00,1.040849e+03
11506.00,1.119021e+03
11518.00,1.031448e+03
11530.00,1.063011e+03
11542.00,1.061678e+03
11554.00,1.039985e+03
11566.00,1.001204e+03
11578.00,1.045562e+03
11590.00,1.030716e+03
11602.00,1.032761e+03
11614.00,1.026775e+03
11626.00,1.026212e+03
11638.00,1.036386e+03
11650.00,1.030921e+03
11662.00,1.015218e+03
11674.00,1.026785e+03
11686.00,1.013248e+03
11698.00,1.007153e+03
11710.00,1.015540e+03
11722.00,1.007495e+03
11734.00,9.987938e+02
11746.00,9.944562e+02
11758.00,9.947699e+02
11770.00,9.409444e+02
11782.00,9.703459e+02
11794.00,9.439296e+02
11806.00,9.802155e+02
11818.00,9.700206e+02
11830.00,9.816018e+02
11842.00,9.836852e+02
11854.00,9.881705e+02
11866.00,9.724458e+02
11878.00,9.342052e+02
11890.00,9.470188e+02
11902.00,9.240118e+02
11914.00,9.548504e+02
11926.00,9.626083e+02
11938.00,9.245691e+02
11950.00,9.241749e+02
11962.00,9.457057e+02
11974.00,9.138412e+02
11986.00,9.024258e+02
11998.00,8.839689e+02
12010.00,8.780796e+02
12022.00,9.244992e+02
12034.00,9.128666e+02
12046.00,8.903251e+02
12058.00,9.205961e+02
12070.00,9.126531e+02
12082.00,9.132253e+02
12094.00,8.631984e+02
12106.00,8.733658e+02
12118.00,8.920782e+02
12130.00,8.664934e+02
12142.00,8.972672e+02
12154.00,8.656667e+02
12166.00,8.703250e+02
12178.00,8.670854e+02
12190.00,8.716725e+02
12202.00,8.606934e+02
12214.00,8.577589e+02
12226.00,8.165472e+02
12238.00,8.585187e+02
12250.00,8.257512e+02
12262.00,8.677288e+02
12274.00,8.467191e+02
12286.00,8.486962e+02
12298.00,8.199809e+02
12310.00,8.337416e+02
12322.00,8.384540e+02
12334.00,8.421412e+02
12346.00,8.193455e+02
12358.00,7.976232e+02
12370.00,8.382521e+02
12382.00,8.396940e+02
12394.00,8.507051e+02
12406.00,8.237465e+02
12418.00,7.998810e+02
12430.00,8.043929e+02
12442.00,8.082284e+02
12454.00,7.985468e+02
12466.00,7.814930e+02
12478.00,7.967621e+02
12490.00,7.961772e+02
12502.00,7.689950e+02
12514.00,7.850376e+02
12526.00,8.100769e+02
12538.00,7.862873e+02
12550.00,8.136670e+02
12562.00,7.825069e+02
12574.00,7.837999e+02
12586.00,7.701899e+02
12598.00,7.582681e+02
12610.00,7.555949e+02
12622.00,7.452519e+02
12634.00,7.492834e+02
12646.00,7.526160e+02
12658.00,7.366313e+02
12670.00,7.543582e+02
12682.00,7.509615e+02
12694.00,7.876421e+02
12706.00,7.551081e+02
12718.00,7.387956e+02
12730.00,7.489597e+02
12742.00,7.602195e+02
12754.00,7.635372e+02
12766.00,7.418699e+02
12778.00,7.611965e+02
12790.00,7.324697e+02
12802.00,7.414321e+02
12814.00,7.126886e+02
12826.00,7.199977e+02
12838.00,6.910154e+02
12850.00,7.269117e+02
12862.00,7.126413e+02
12874.00,7.139570e+02
12886.00,7.109012e+02
12898.00,7.494024e+02
12910.00,7.045702e+02
12922.00,7.061420e+02
12934.00,6.939455e+02
12946.00,6.855763e+02
12958.00,6.943699e+02
12970.00,7.155491e+02
12982.00,6.975745e+02
12994.00,6.993534e+02
13006.00,6.957362e+02
13018.00,7.082778e+02
13030.00,6.605377e+02
13042.00,6.740199e+02
13054.00,6.917392e+02
13066.00,6.704059e+02
13078.00,6.420660e+02
13090.00,6.610693e+02
13102.00,6.719685e+02
13114.00,6.894690e+02
13126.00,6.852840e+02
13138.00,6.693671e+02
13150.00,6.682740e+02
13162.00,6.587468e+02
13174.00,6.664597e+02
13186.00,6.530426e+02
13198.00,6.707762e+02
13210.00,6.614633e+02
13222.00,6.556645e+02
13234.00,6.535400e+02
13246.00,6.356028e+02
13258.00,6.539242e+02
13270.00,6.416557e+02
13282.00,6.239677e+02
13294.00,6.404129e+02
13306.00,6.420486e+02
13318.00,6.298442e+02
13330.00,6.412239e+02
13342.00,6.158147e+02
13354.00,6.376248e+02
13366.00,6.149603e+02
13378.00,6.478737e+02
13390.00,6.215370e+02
13402.00,6.126174e+02
13414.00,6.017658e+02
13426.00,6.315717e+02
13438.00,6.260215e+02
